id,S_id,S_name,S_cui_entrezid,S_semtypes,P_name,O_id,O_name,O_cui_entrezid,O_semtypes
D10029060.P1,D10029060.E11,Malignant neoplasm of testis,,neop,PROCESS_OF,D10029060.E13,Mus,,mamm
D10029060.P2,D10029060.E9,Malignant neoplasm of lung,,neop,PROCESS_OF,D10029060.E13,Mus,,mamm
D10029060.P3,D10029060.E3,"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP C",,dsyn,PROCESS_OF,D10029060.E13,Mus,,mamm
D10029060.P4,D10029060.E19,Xeroderma Pigmentosum,,cgab,ISA,D10029060.E18,DNA Repair-Deficiency,,patf
D10029060.P5,D10029060.E27,Body tissue,,tisu,LOCATION_OF,D10029060.E26,Malignant Neoplasms,,neop
D10029060.P6,D10029060.E33,Organ,,bpoc,LOCATION_OF,D10029060.E31,Chemical Carcinogenesis,,neop
D10029060.P7,D10029060.E34,XPC gene,,aapp,PREVENTS,D10029060.E31,Chemical Carcinogenesis,,neop
D10029060.P8,D10029060.E44,Lung Neoplasms,,neop,PROCESS_OF,D10029060.E46,Mus,,mamm
D10029060.P9,D10029060.E50,Liver neoplasms,,neop,PROCESS_OF,D10029060.E53,Mus,,mamm
D10037274.P1,D10037274.E6,Intercellular adhesion molecule 1,,aapp,PREDISPOSES,D10037274.E7,Secondary malignant neoplasm of liver,,neop
D10037274.P2,D10037274.E6,Intercellular adhesion molecule 1,,aapp,PREDISPOSES,D10037274.E10,Secondary Neoplasm,,neop
D10037274.P3,D10037274.E13,Intercellular adhesion molecule 1,,aapp,PART_OF,D10037274.E14,Fresh Tissue,,tisu
D10037274.P4,D10037274.E32,Liver neoplasms,,neop,PROCESS_OF,D10037274.E31,Homo sapiens,,humn
D10037274.P5,D10037274.E20,Intercellular adhesion molecule 1,,aapp,PART_OF,D10037274.E19,soluble,,celc
D10037274.P6,D10037274.E29,Secondary malignant neoplasm of liver,,neop,PROCESS_OF,D10037274.E30,Mouse Model,,emod
D10037274.P7,D10037274.E24,Intercellular adhesion molecule 1,,gngm,PART_OF,D10037274.E32,Liver neoplasms,,neop
D10037274.P8,D10037274.E24,Intercellular adhesion molecule 1,,gngm,PART_OF,D10037274.E27,Neoplasms,,neop
D10037274.P9,D10037274.E23,Benign Neoplasm,,neop,PROCESS_OF,D10037274.E21,Patients,,humn
D10037274.P10,D10037274.E21,Patients,,humn,LOCATION_OF,D10037274.E20,Intercellular adhesion molecule 1,,aapp
D10037274.P11,D10037274.E42,Intercellular adhesion molecule 1,,gngm,PART_OF,D10037274.E44,Secondary malignant neoplasm of liver,,neop
D10037274.P12,D10037274.E88,Intercellular adhesion molecule 1,,aapp,ASSOCIATED_WITH,D10037274.E89,Malignant neoplasm of liver,,neop
D10037274.P13,D10037274.E96,Intercellular adhesion molecule 1,,aapp,PART_OF,D10037274.E95,soluble,,celc
D10037274.P14,D10037274.E99,Malignant neoplasm of liver,,neop,PROCESS_OF,D10037274.E100,Patients,,humn
D10037274.P15,D10037274.E101,Patients,,humn,LOCATION_OF,D10037274.E96,Intercellular adhesion molecule 1,,aapp
D10037274.P16,D10037274.E100,Patients,,humn,LOCATION_OF,D10037274.E97,Intercellular adhesion molecule 1,,aapp
D10037274.P17,D10037274.E107,Intercellular adhesion molecule 1,,aapp,PART_OF,D10037274.E106,soluble,,celc
D10037274.P18,D10037274.E109,secondary group,,humn,LOCATION_OF,D10037274.E104,Intercellular adhesion molecule 1,,aapp
D10037274.P19,D10037274.E109,secondary group,,humn,LOCATION_OF,D10037274.E107,Intercellular adhesion molecule 1,,aapp
D10037274.P20,D10037274.E120,Intercellular adhesion molecule 1,,aapp,ASSOCIATED_WITH,D10037274.E124,Malignant neoplasm of liver,,neop
D10037274.P21,D10037274.E133,Intercellular adhesion molecule 1,,aapp,PART_OF,D10037274.E132,soluble,,celc
D10051471.P1,D10051471.E6,Hepatocarcinogenesis,,neop,AFFECTS,D10051471.E1,DNA hypermethylation,,genf
D10051471.P2,D10051471.E8,Aberrant DNA Methylation,,comd,COEXISTS_WITH,D10051471.E9,Hepatocarcinogenesis,,neop
D10051471.P3,D10051471.E14,Candidate Tumor Suppressor Gene,,gngm,ASSOCIATED_WITH,D10051471.E18,Liver and Intrahepatic Biliary Tract Carcinoma,,neop
D10051471.P4,D10051471.E27,Liver parenchyma,,bpoc,LOCATION_OF,D10051471.E25,Precancerous Conditions,,neop
D10051471.P5,D10051471.E31,Locus,,gngm,ASSOCIATED_WITH,D10051471.E33,Liver carcinoma,,neop
D10051471.P6,D10051471.E67,TP53 gene,,gngm,ASSOCIATED_WITH,D10051471.E72,Liver carcinoma,,neop
D10051471.P7,D10051471.E75,Locus,,gngm,DISRUPTS,D10051471.E79,Hepatocarcinogenesis,,neop
D10068108.P1,D10068108.E5,Liver carcinoma,,neop,PROCESS_OF,D10068108.E4,Homo sapiens,,humn
D10068108.P2,D10068108.E3,Stroma,,bpoc,PART_OF,D10068108.E5,Liver carcinoma,,neop
